Line Number,Word 1,Word 2,Rhyme Type
1691,lyf,knyf,M
1693,brynge,bitynge,F
1695,syde,ryde,M
1697,spere,were,M
1699,take,stake,M
1701,syde,abyde,M
1703,take,make,M
1705,laste,faste,M
1707,fille,wille,M
1709,hevene,stevene,F
1711,good,blood,M
1713,melodye,compaignye,M
1715,large,sarge,M
1717,ryde,syde,M
1719,emelye,compaignye,M
1721,degree,citee,M
1723,tyme,pryme,M
1725,hye,emelye,M
1727,aboute,route,M
1729,marte,parte,M
1731,anon,palamon,F
1733,place,face,M
1735,doun,variacioun,M
1737,tweye,seye,M
1739,avauntage,age,M
1741,gesse,dresse,M
1743,everichon,noon,M
1745,loude,proude,M
1747,doun,clarioun,M
1749,est,arrest,M
1751,syde,ryde,M
1753,thikke,prikke,M
1755,highte,brighte,M
1757,toshrede,rede,M
1759,tobreste,threste,M
1761,al,bal,M
1763,tronchoun,adoun,F
1765,take,stake,M
1767,abyde,syde,M
1769,reste,leste,M
1771,two,wo,M
1773,tweye,galgopheye,M
1775,lite,arcite,M
1777,palamon,leon,M
1779,wood,blood,M
1781,arcite,byte,M
1783,rede,dede,M
1785,wente,hente,M
1787,arcite,byte,M
1789,take,stake,M
1791,palamoun,adoun,F
1793,strengthe,lengthe,M
1795,take,stake,M
1797,naught,caught,M
1799,composicioun,palamoun,F
1801,fighte,sighte,M
1803,echon,doon,M
1805,partie,emelie,M
1807,ywonne,bigonne,M
1809,withalle,falle,M
1811,above,love,M
1813,wille,fille,M
1815,douteless,pees,M
1817,boone,soone,M
1819,mynstralcie,crie,M
1821,arcite,lite,M
1823,anon,ydon,M
1825,face,place,M
1827,emelye,ye,M
1829,comune,fortune,F
1831,herte,sterte,M
1833,saturne,turne,M
1835,leep,keep,M
1837,heed,deed,M
1839,sadel-bowe,crowe,M
1841,face,place,M
1843,paleys,harneys,F
1845,blyve,alyve,M
1847,emelye,compaignye,M
1849,citee,solempnitee,F
1851,falle,alle,M
1853,dye,maladye,M
1855,fayn,yslayn,M
1857,oon,boon,M
1859,armes,charmes,F
1861,save,have,M
1863,kan,man,M
1865,nyght,right,M
1867,disconfitynge,tourneiynge,F
1869,disconfiture,aventure,F
1871,stake,take,M
1873,mo,too,M
1875,staves,knaves,F
1877,vileynye,cowardye,M
1879,crye,envye,M
1881,oother,brother,M
1883,degree,three,M
1885,worthily,largely,M
1887,way,day,M
1889,endite,arcite,M
1891,soore,moore,M
1893,lechecraft,ylaft,M
1895,ventusynge,helpynge,F
1897,animal,natural,M
1899,expelle,swelle,M
1901,adoun,corrupcioun,F
1903,lif,laxatif,M
1905,regioun,dominacioun,F
1907,wirche,chirche,M
1909,dye,emelye,M
1911,deere,heere,M
1913,herte,smerte,M
1915,moost,goost,M
1917,creature,dure,F
1919,stronge,longe,M
1921,emelye,compaignye,M
1923,wyf,lyf,M
1925,have,grave,M
1927,compaignye,emelye,M
1929,tweye,seye,M
1931,palamon,agon,F
1933,jalousye,gye,M
1935,proprely,trewely,F
1937,knyghthede,kynrede,F
1939,art,part,M
1941,non,palamon,M
1943,lyf,wyf,M
1945,man,gan,M
1947,come,overcome,M
1949,two,ago,M
1951,moore,soore,M
1953,deeth,breeth,M
1955,ye,emelye,M
1957,ther,wher,M
1959,divinistre,registre,M
1961,telle,dwelle,M
1963,gye,emelye,M
1965,palamon,anon,F
1967,away,day,M
1969,morwe,sorwe,M
1971,ago,so,M
1973,maladye,dye,M
1975,teeres,yeeres,M
1977,theban,man,M
1979,certayn,yslayn,M
1981,ther,heer,M
1983,crye,emelye,M
1985,theseus,egeus,F
1987,transmutacioun,doun,M
1989,gladnesse,liknesse,M
1991,he,degree,M
1993,seyde,deyde,M
1995,wo,fro,M
1997,soore,moore,M
1999,enhorte,reconforte,M
2001,cure,sepulture,F
